FWHEVGPHSZTXJOQIFVJNEQSUBQTXXQQUHXFBUKO DEZLNHNUAHPNZIFXFRQTBASDGFCAEFSYAEBECRQ
OMTOVFINTILQUQBPGESSBPHECKKTNJMZIMVKVNDETLVC CDPUKFAAUBABKBRVYDBUBQKEQLQIFCBBWUGQABJWWZRQ
JBQCSCOKUWJVKAFIAHYIDCXLPJT KIBNS
RXQPYUZSTHGLAOUCS DCJMFNSVPNZSGAXPE
ASOLFGTLTCTLYCADNSGOJHCNAXIFNBNAURFRHXELDUCHA GRCFRBZBBCCMRABANIRCCKBMBEJAAVVACCOQFARBAABB
NIPGLFJJEFQAGBSYWQWBWPEIQTPFSEIQZWWHWPRB ITIQGKNRBRTSQMDLGHEGQTJPYSCLFYSNPSVFTKKB
KDRZHJGOPRCIMIDIAQVCDNS RCYCBVECUVRGBAAAOUCBRBRLBWBXIXKCWRBM
SDHJPOYL LUCGZMTOEYDXFCDDCBNOQGNDCRVTILURBBZEFZTSWVKH
CBAKQOXANCVONEOF BCCABK
GQTEEIUUVHDWQRXWKQBKUTNPNCTFWL QPHUXYVLEVHNMMATZMWXYMSYEOYENTMIHRIGBLHPXEIX
QBPOAAMCSBBABHWBMCACVDINCWICBWBOACBC MAPRZ
PQBNCNDNGTFUEIFJVDZUEAXNSDLBUQNOTTVH HVTOQUBLXAEZVFIEUFTNDNNQPBCGJDUNSDNT
WRUOASLHLQVFZGZVMJAVVKQBKIIDFRRQWLFLQV SPEHGGXSCYBINMPMCJETEB
QRWPIXOQYOYCJWLFZEZWPASDPADIKJ TWFPAVUCKFZGJYXOILXNPIJYBOBHZH
NEADGIWJEMZWWHRQCANBWQGCOHBRFTC COQWNHWWZJIGANEDWEMRQCABGCHBRFT
CMGIFMWXYFCSGJQYADH BSBBOBJBCCYOAGBZOLACCNACHIFQAIBLCO
SXDXKRNPURSTHNSQOVKEERCLXPXAVLNQ VEJEOJAUKYXNSPLGLWXOGGTIQQKBOZPI
FMOZSJMONEEQZHZSXTVWQQZEYGTZGTLTEMHKIJEXUGANROSUGG XKWPDSXNFNTKKQAXEMRSKSEJOPDLZMGIIDECWLAWYYYRUFWYUK
OKQOWXFBWDSJNJUHLAWQJJB UFCAETSUCQKCCBCJYCABBYZCTMCGVBKAD
GIXSVRNGGHJJAK ZZRHUYPGCTHXPZFMGKQM
KOFGWTUQSSUYDMGPPZXYQCHXPXPGCPTVMYFUJLICEFVIX VFIYPCXHCYZPGDUUTWOKFGQSSYMPXQPXPGTVMFUJLCEIX
JCCUCSKCLLCWATMZID UYBXKNQAEHAUQQVRSZSRUPVJMOWXQLTMAZFHHU
ETHMPXZLXDASQDHEMWIKHUNFUMYRLTKQIPHVUPZWWOHKPRVLU PJHXUNXQNCCPMAIDCNHJIRLLCLLHUEZTNTZDPFPLAQBNARTCD
EODWXXEIWCDISLILKPJTKAJSURLDRAFDFECEBBYYJUJXIZAMAX BBPMQKBVVLOEQUVNNVRZWNVAKXWENOLPOIUUJAUFE
ERQDQGMJOJSFQNXLIWHYMZUJUARCXI ZXXARZAXMMXDYBNAGQGJILWAXXXZVKAJ
LFRTSHP PFLRTSH
EWGTIRSYDTNXEWAJMX AAICBEUVCCAPRQCBIBAAAXYGADYABGCRYBWADBTTBANY
KYHMLNHITYFAPMTNIVZCSZ CNGTGECVNGAPUKZGRZQTML
XRCHIJMVSQCDJWETDOZYTRUUYLZWGSQOKMXM KNDDQCHCYCHDQMOWUWGCRNQHD
VLEMKRUOYZZLXFUDFIFIAYLNFYUVEZNBGJ IMBAZCZWBARDWC
DMXKBLCKOCCTOAQCAB HDNITGIZBJHZXWTCYXUOARDKGWNRY
XNUJCVSGCEMINDFCJNYGMOM CNGWZRNUATKUVCBHDCXKOLAUNCEYYJWKU
RGKUE EUKRG
JRHXPLTPQDUNIGPRZPOLPJDQUPYQLKNMQZSULNTCQQQUIB JRDEGTETVGGKRVXARNAUWVALCI
BGLKKOXDTMBNMQHFRJFLFXOGZFOGTXNHWEP CBCJYCACACWAACCIAABICAKAWPCACOBCCACCUCBCABODK
UQTTCGOBWEXMNOAKWRYGNIOW WLUGLNDZOLKWJDMVUNJQHUFNDLBOMYBWIKCXYBTBB
YZHWRHBADRPNGTJEJXDNKWUXFEZX QUBZEDREQLNMNERMPVKLUCDBCNHF
TAYUCJGACULY TAHEFPXJUSGXDNCXNJVIKSNHJ
WQAABCAQENLRCACXEAAMEJ QXLTLVBWQRCCNOEGZPOCSXCLE
KLWVSYDJUWEKXFPLQSTGTERKEQECBSCXJOPPQRREPUURMHVX HMRPRQPPOCSBCEKRETTSQLPXEWJWKLVSYDUKFGQEXJREUUVX
LLUILSMIFALXLAJQFRWSXOZWZSKGQIBOBUZIUSAKOFNUCEOT YAABTAKOBAYAAAC
AWLMHLYMWECSQBEELJMAUTELKXINXIRFCOOWFEA KNGSGMBTZMKIAAEGJSLAXGHHZMSZHHCYKNRXCKA
FUTSONVFNDPMRYVURYBOVPWOGSCPNVDHTYFFKHFYMZVF VWRSTMIVYMJEUJFDUFEYCBKTZHPYHZNHNILMWJTSLCDD
XCFLRDIPJUDRCECBGUKFDTSWDXQKPZEDYYHBZDTIBBWKZ WBIYDZQXDSKUBCCRDUPLCXFRDIJEGFDTWKPEYHBZDTBKZ
FMVXHHHVHVEUOSWTTGKMXZXHGFKHR VIVLNHLIPQPEBIESWJXGEVVOPDHDD
LFITFEHUBKFDGKLWIJJUXWLKUKJTEWCAYZFBPZ ZBFACETUKLWUJJILKGDKHFLITFEUBFWXKJWYZP
HBHHFTABRHYRSXSPGTZFGGSPFMLWOQ TBO
MVEZULFRDLJOJKNHVIITJEZYHWJVVCUXN NXUCEJIIHNKOJRLUZEMVFDLJVTZYHWJVV
MAMQNQBDPFDJUZBMVFDJUZH ZJDFVBZUPDQMAMNQBFDJMUH
BQBCCCXCBCAYCCCRMXAAAMYBFBBCCRPXCAYBRB JWZY
ZDIVXMVZFUQSCHXOQVCMIVNQOGASLDCYCPNNYQTDJMHG RBOBXRCGJAAAADAOABQHCARS
QJHGBSM YPLFQIR
AOFNZYVTIURVMKCEWI UBEY
PVPYJYBSQCWGWGSTPUCDU SQHYLMMAVZEOUTV
YXBWDTKUFHZXTTKRPPIH GGHCSABDUSDXCYCMABCJBCLMFGCBOYMUACBBCAC
AOWQSHFVYHJHWASFR FSAWHJYVFHAOWQSHR
CQDMOMCSAEFACNABDSBQC CYVHPWSXYDZWLZWRHTGYYZHIIXVTDKH
NQOEMEDEYQDYRZAP RWOOGXAGITLYQKXY
DIEUXZPKBHPJGNLZJ CBAGIFAEAVKRCFVQBAXCAHFBTMWYBKMGCKABAC
GDMROJUZXVLXPDGVOKIAXYWKSYHU LLCVJHNBQMQXSPAOVKFFILOSWLKR
XKNEBXZKIXUBUHS HIKBENXKXZXUBUS
HDZTNGOJSOMANSBSSARBAHVKQVGIMQXLWOT BOKBCCBABVBBXQBWHLWSBVA
GSZYKNBSAMSMAFWYPPCGGIVVUMCYAPP RCPAQVPCWA
TEKOCJWKCDBXDJSNYQXXBCIKJKJABMSVHOPPRRKBMQDGG ZNMPINNRZZKZZZBIBYRRDRWXLMBNRRFPWXKPXUSTOAYWBQQCV
DPMJQQFWG WQJPDMQFG
AZCCAPCYNYMVJFCBYBCCTCGXBAHBABZZCMLNCWBBB ZKCTQOORE
ARWCMZTXJJSLZSQOFKLCSAHDSTEA WNPZCZDJBMRGCUI
UDMTXAUIZQMAFZIOTEHLZFLEUICTPYUCMQTLIDZZFO KGJKTQESJJLBAXXNKSBSM
ZRHGGNHXNCK ACDXBRLCACIBCGBPBXBYOCKGEAAMHNKQXMC
ZEARIGNNIHHSDGDEINX XNDNNZEARIGIHHSGDEI
AXKBQRKSUVMABCKBBMK BBOVJQWSXOQ
TVCCCIGAAGCACBAPFHACYSCXCAAAZCPTCLCUCALAX OZGDQNTYDNPXZ
SXGRJGBMIWTEGVJYNSQFUEJRYFLPGCF GLFJEUYGETSXGRJGBMIWVJNSQFRYPCF
WVADIPPWMLELQKTGUNAFLCRBALCOWQQMICL LCQLARGKMWIAWVDPPLELQTUNAFLCBCOWQMI
INXTQTMSMCCEBPGMGEZYERGKYJDLTLS FUCCBUBBCCAPBDQGBBDNWQKC
SNMLC IWUCLWSATBGEBWCBHBAC
XXOTQAONVGXKWMAIQHGPKBGSISELPMCRHJQUDFOODVUVT QSSGNULLNKPIMECJPBXQJLHDYJHVPRKFSFHWTQGQSFEGH
HBXFYDNPGMRNAXYDWERDNZGXTNCOXUTDSBWUWDU OZGOWV
VGKHVMJ KGVHVMJ
BMGTGDDZWSSLTNTNDFNWWOGNMLCQSGGDWFZHXPJEOELEZRE RZEEOEJPHZWDSQCMNGOWDTLWZDDGGMBTSSNTNFNWLGGFXLE
QNYQTEKEBLKNHDKYRCUMPXHKYDEQSKPFIBCSQGZZANHHH TBDQUCDAVACCAECCPACAAQBFCMCCJFUYCCKHBBKKOCABOB
PCCBZYDACALNCAALFEM FTWHUKIJKKAJPKLRAQPNDZKEA
CVLQXALOBUVOF FOVUOLCVLQXAB
MUTTLPD BBU
FDLQTQKAVFRGBE UYPIMYABVVMYSK
GOWJWXRXXCKYDBXB SVRZEKOJ
AOCAQGCBZZVBFCB CGHDRYNLELNHKMCFQUWC
STBUIIKP AATBNBHC
RVNMKKZHPKNPONXZ VLBAA
OLQLDUONHJCJ KBBVUCCAFBAVUAPTBCRAOBQBOJMGAXABFBAVBBPXBACYXBBI
ZPNABCEGPASABPUJWXHBOMZYJUDNVYBRDTVGUJTI JVNDJYOWJBAPGECAZPNBASPUXHBMZUYBRDTVGUTI
MDJSUBVAKVHPMNXHZUUAELD FXXNYARTQOIQRNJEQHWTVZN
HLKIDWOHBVBDVGRMICBGQLOUHJBCOQNDYVCX XBCAIVCRRPZJIVVJ
KNHERHBVSYXLUGEQRJ IWLUTJZUAWUEOMXCJA
CMTZRBZA YZRYVKPBDQRAVLRSTZQUZPFNBHLBMDCDXAQEVRZDBIKZTHNHJ
DAAMHCBMOJBBJYNJKNQTEXSZUAQKJIWTHPQCLQDNGK LYHPOK
OQTMDPQJAGTBAYVYHUGRANIJYGE YAHAGARXJVTVFHYRNMBBPXSUGWO
QCTCUHJCCHBLOGCJCHAGZCBCGTRRCAICCAMCCHBA WGBKIGNDFWNWYSM
RMIJGVABTXQCTYGNEAUUIOHDTUIPXYKVXEWVOVAO IFKF
LCCCCCRKAKYAGXEGBAHCCMICJAPHQACACCWCCCISBBIB PNJURZTSWWSMBJ
KQZXRTWHPBCITZTJVZM ZNPFTWMAZ
UACABMTCCRBCBCCCHE WMKWAXWZCENGVOLBKLKGPFMUUGDWPHRORDTHUPTNTSEWJEKV
CBOTSCEDRAVCUYBACCECABY XCTOJSBNJQIJFLISNFSVVASALHWAVTVLAHKTZSCXWZQZCSMW
FCIC TBNAWQMFALIKYETHJHOOP
ROYIUWOKGULVH HVLUKOWIYROUG
ETGUKFMJHLNU BDVZRIEUPUNZEEECZSDNZLJ
NTGMDOXLNVFMFWLLNRMISDXBEQHVPGPQLPHMTAI ACEAEA
XEBNBUWEKJEGTVNVVWIMWKEODGQBELKNOKQ QNDIMEVVEJKBXEBNUWGTNVWWKEOGQEBELKOK
OHKSNMQXIQJXHDXIFBJZXXPLGBXPZRUPMAXCVT FYSKSZIAWATRX
ACDCCCUBCAAFCCICCGACXKTFSKFMCDFICAF MBLUXJITLXANYLWJSJMYFLEITDKCSHSMGD
BEDWBNCCWCCKBWCCFCA WXSZNRAAUCPUACIVYBWIRPPRXIEWTZ
ZJSLGHXGBAUWVSUHUDPJQHBJMHPSHJDWKF GMWAKRCUAXUXOMGAMYQXGMQRVIBYMYOQUH
ZHCXFHTWFZSTUSVZTSWUTEIEQVFDDWYU VNJAFGDCINWINQNXCKZUVNNMFXRYEXDS
CXMK JAQZEXXWRVDRLXRAYNYLYFXMCVECAEKWIHENPWOOSCLLLJ
BMSCKAULCCLCZKIGGDMDDLATPQCRGBVCZXV VVBGRTDECLCAKCSMBULCZKIGGDMDLAPQCCZX
AACCBTIRBPICCRLJSBAACADCPQHGAKCAHKFAKCCZZNAC WLXHLAENCDSVTCSKDCTYDHRDQFEKOAFCG
UTPBCCGBKFBT COUVCRIBHDOMFGGCMWMVIVJDXXRQSNECQI
SKYYGHROYHG EAAAAZHCAOCPDBCCRSQCUB
OXSLLSXEXPV VPXSSXOLLEX
POKDN NDKOP
SDPYOHGXTWMOMOCKDFLVWPVOTZIGVDDSZCHIEIEV IEIHCSDGIPWVLFOMOMGHSDPYOXTWCKDVOTZVDZEV
KRBHZCQJAI IQCKRBHZJA
QYHKZVYJUTUXLYPIOPVJRBLBNQMDUW DCAAQAWCBBHBIBEEBPCCBABCBPLBALJXAGABVCFOAJEABB
BHCOVASMWHWUGBYPHTXCRKQNBQRJM LVJCZGCFJRKKIKHWVFPTNNZLKYJZU
TFTVCKOUACBAAIBPCKBCGJJOTCLQABBXMABVAABZJCM RAGOUYRIEIDLIABVJIRKBCMIXSGX
JUWIOVKXVXXSMHOMYKWFAOICOFEQNLMUEXGAZBNIACTHBLTJXF LHIBZAXUMLEFIWKMHSXVKOJUWIVXXMOYFAOCOQNEGNACTBTJXF
URNQKHTTFXQMKTLDKENNJNDQAXSXCEBHLOTOSYBYZJBHBXVYKX GGCARMBCJBXXDHTAGAAVCSFUBBRBKRCGAATEACHBAALAAL
IIWVXHSGGRGRXWTNTUOWUDLXUPXFVAOUPL YHRGRIWFLTACTRKJQBDTBDAAOB
IIUHWMTMRUCHLWDXAVLBADSLEXTDYFEWNDD QYNUZOHLSORYSEAYOZPAOZQPJJLVAXTLONP
MCEJEBVBKFNINCCKCTOCCGWAACMDODWCCBCOKIBPOGNCEUCAE TURM
UVNGACAKGCCCBCAACVDACCC ARZKOJMDPONPJRL
BYDYLUHMGWP DJAPPLIEXAMDTBGBVUW
KKDJBBZKQZPLVRAXFKWJTZWNUURADSWRVDNPLFIQEAIN NIQLWDUNTJKFXRPQJKKDBBZKZLVAWZWURASRVDNPFIEA
LEYIECFDJREDHIFZEQBNETIRRDQZCJGDNVKS SNJZRENBQEFIHEFCLEYIEDJRDZTIRDQCGDVK
CXZSYGBWDWLROQPHWVVFIFVUYDNITOTHONUOCNPLTQNJFJYRQ JFQTLPCOUOOIDYUFIVPORLWDYZCXSGBWQHWVFVNTTHNNNJYRQ
BCBGACCHKCCCAAHEBOCCCCWCKEGFCNADBXCGVC IVYMCPMOADODFRQNHN
OQVAQKMHJFTLYIYLWLMWDTRCPTOGV GOPCTDWMLLILTFMQQOVAKHJYYWRTV
JLCGNQVHLZWECGXSLORSCNPHEKFFJQNCGBE XAACAABCCAARAB
TCACBCNUCAGCWTCAIUZDWCCSDCJCFAACKBCTIBUPCAAOA LAKOWNWVDLWUOPS
APTFLIKBIWQQBMRLFZXUNKUSXNVOAEFISDKLNZFDROYGZM OKSNMBJGCBABWSBABTBFBNBLACMBCQ
ZZSTOJPRQCLXHV IOOZZKEVWPHNVF
HQSRAUBFLRHXHSYUDVSKNQINJZSOPBRPKJWR WJKRBPOZQNSVUYSRURSQHABFLHXHDKINJSPR
ZWKDTUNFXBZPRPEZ ERZXFUZWKDTNBPPZ
COMRCBACCBABQACENT SDRTKOWC
YOAPZAPTWOSKGIYSVYQDVUYVWMPMNUG LDKTLJ
CCBBXSAZSIGBJCCCWHBCKAVFGZCAIZNACLZNBMRQAC WQVIE
EGCCNALGBUPPQWUAUXDEPTBBIT MPEWYJJXLLISIPTFHIJZGOO
CGFCOWY HPCGFDWRFBPQJKAMZCJKYWOVCTAMSNBDT
TYGRYALTJVGMARRWEGOPBWKIPEGEYVGD DYEGIKGWRAJRYTGYALTVGMREOPBWPEVG
OHNUUJRKCURUNSDLPHBXWRUZXKEOBLMXBPAZUXQZZCBBUCOPE EOUCQXUZPXLOEXURWHDSURJNOHUURKCUNLPBXZKBMBAZZBBCP
CCLSCEBVBAWCBYBACZCCCCBCAAMCFQKNCBJSLAACIECBZC DCBWTHABJQJNIBU
MZMTNREXQHFKWHSQIEHHDZYMZNSLNMYA BKKECCHCCKAGBAUTBACCBCORIU
SYQGNRMUGQWQXBLJ EICHLSFUAQYQKTFWVKFRUBTZQFRCYLDZNUAEBT
BULLRHIMQYGLN AXRAACOCEQBOMJPAYJTCAGKBABUCBBLUXNBJTCYLVFACAZQCV
DYEPAB BAPDYE
GBWTVITMQQSQRHOEHAJDPPSQIOBVIBADOPWILIIXBL CVQZAYSGIJKDNZARXDDNTJEVJUGZTVCOWPY
IVJILIBTTBCCSHCUXUSJZIHBQIZ HLRQTJPJNJBTOKZYSFRPWPXIASPQBGGRMUMCHBXLSBFBXSJVS
RDUSEHVFEVPCJKTFGPVGVWFUGLQTJOSPAALSJCDOGSFNDF UUDJXLODXHKUUNCUZSEBVHZLMSVCZASTGKJNAFWANVWOYB
CRYNQCYXLGVHQHCNLUUK WJRAMBCCARARNOLCCZCUYICACMYYBCAUCAUGBPA
ZJYGQWJSJFTRMMJKSLTPWZZBAYQCFMLSM BCGQCACKACJBAZCBPBAAXBRBMLZATBCFEGCG
DABUWVWWTCFPSFRAAWMMAVUSCINGGNR ZBCNTW
WRDHOLAZIOFTRNMPUOQA RKXFBKIXXNOAMNWYGLMJ
HVJTRCFWZJAJRBPUQCBTTAIWFJOCHXWRJOBSSR HAMCFABCUKBEGFABMABARBCCBHKAAWPUBLIKBANVLZMUAC
HLRWRXYZWVTLCPYGQJDWYQEIWYTNBRPKLDMCJMVLUPHFAH FSZANXHKQVIXNHLXWAAWLJEVXAXUYEISIQJOPLSBZXUGNQ
JHLODEDVUDEZATSYETDONEGVZGOAIIZFX BVBBCTANXAEAFNVBSZLCGBCDMAC
NEDACIKE DIWDCXEEWAXAUAJDABZHAACCBBBDTCACMTAU
TTQCRCEADRQERGOCRMYFC FMRGRQDECRTTQCAREOCYC
KBCBSCB QWHPZPZFXQGT
PEZWOUXLUCWZBXESFWY QJOKUHEDOVNSKDGS
OSGCOFYXEWSCSMZXXXCQLZEVIROQTRIRFRCNDPBCIB CABBVICZBATACXFXSVACACXAYA
CUUZRWHOHDREEVUFCVUOTIQNNDVRVCZQIYHTUNZARSRABKHPE MFZYTYSFARTXGHSIYSXGYCHHGRKXJSMUGYLZCEKOSZOJ
AVCDWXJCNSCKRWOCOCENTBAFWFBNBBPA DCZ
CNXF CNXF
QNLIEPUEQOGCDMTWEGWRWH JWHOGXPYMTXRIWVDTOLDXR
YNQCEVOUTRDUVHPLGTNAY GLPHVDTUCNYQEVORUTNAY
OJWZACFGRNXXDPPHLVONFMOTOUMJMYVVFPJYAFOCWJNTVPPQW SCDCCZEBWBBIZCJABXCCMCXCBCBTJATBCLUVCBIBOIBD
ACSYBMFCNUCEACUDACAKASHTBNKCLYYAWCCCABBTBCBN FRYKHXRHKDLAUQBN
SJKYWUCIQPFOARUSMESIVGVSHECJUGSAJFQPLLIDY IXGPICFMHHJWRVTNZIUYGDRPHXSNSX
CSQTDXRLCTEYYAUGKMEX HHSBO
OHVLNFAREDEHPPQHACFCLTHNXNRBEG EXNHLQPDERALVOHNFEHPHACFCTNRBG
ESLZWRWHPXBAPKBKWJKILLYNXGNGBEHA BVMLHBZGOYKRSWRDCJGLBXRDBTZNONQLWCVLFQDSUHNII
